Half Inning,Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,,,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Bottom 2,2,1,2,2,'2-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Popout,Pop Up,Straightaway,011,1.151706,0.427016,
Bottom 2,2,2,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Fastball,Called Strike,,,011,0.840666,0.251163,
Bottom 2,2,2,0,1,'0-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Fastball,Ball,,,011,1.551614,0.875441,
Bottom 2,2,2,1,1,'1-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Offspeed,Ball,,,011,0.462974,-0.19726,
Bottom 2,2,2,2,1,'2-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Offspeed,Ball,,,011,0.063066,-0.21485,
Bottom 2,2,2,3,1,'3-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Fastball,Walk,,,011,1.484963,0.787514,
Bottom 2,2,2,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Fastball,Called Strike,,,111,0.707363,0.743551,
Bottom 2,2,2,0,1,'0-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Fastball,Ball,,,111,0.218586,1.191976,
Bottom 2,2,2,1,1,'1-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Offspeed,Ball,,,111,0.529626,-0.31157,
Bottom 2,2,2,2,1,'2-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Fastball,Groundout,Ground Ball,Pull,111,0.285237,0.532527,
Top 3,3,0,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Arthur Kowara,Taylor Lepard,R,R,Fastball,Swinging Strike,,,000,0.57406,0.655624594,
Top 3,3,0,0,1,'0-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Arthur Kowara,Taylor Lepard,R,R,Fastball,Foul,,,000,0.596277143,0.444600989,
Top 3,3,0,0,2,'0-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Arthur Kowara,Taylor Lepard,R,R,Fastball,Ball,,,000,1.418311429,0.180821484,
Top 3,3,0,1,2,'1-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Arthur Kowara,Taylor Lepard,R,R,Fastball,Ball,,,000,-0.070237143,1.095257102,
